ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12066533,JD250767,06/02/2020 08:10:00 AM,052XX S MELVINA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0811,008,14,56,08B,1135925,1869263,2020,06/09/2020 03:49:44 PM,41.797425259,-87.777082236,"(41.797425259, -87.777082236)"
12070486,JD255399,06/02/2020 05:00:00 PM,078XX S SOUTH SHORE DR,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0421,004,7,43,06,,,2020,06/09/2020 03:49:44 PM,,,
12067646,JD252276,06/02/2020 03:00:00 AM,053XX S NORDICA AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,0811,008,23,56,05,1130279,1868347,2020,06/09/2020 03:49:44 PM,41.795009976,-87.797808347,"(41.795009976, -87.797808347)"
12067139,JD251739,06/02/2020 10:30:00 PM,031XX W COLUMBUS AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,false,false,0835,008,18,70,09,1156827,1852555,2020,06/09/2020 03:49:44 PM,41.751179287,-87.700881311,"(41.751179287, -87.700881311)"
12066279,JD250586,06/02/2020 02:30:00 AM,023XX E 70TH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,true,true,0331,003,5,43,04B,1192704,1858996,2020,06/09/2020 03:49:44 PM,41.768054998,-87.569201619,"(41.768054998, -87.569201619)"
12069405,JD250444,06/02/2020 11:00:00 PM,012XX N STATE PKWY,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1824,018,2,8,07,1176070,1908457,2020,06/09/2020 03:49:44 PM,41.90416925,-87.628685126,"(41.90416925, -87.628685126)"
12067129,JD251740,06/02/2020 10:16:00 PM,039XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2535,025,26,23,08B,1149979,1910349,2020,06/09/2020 03:49:44 PM,41.909909201,-87.7244751,"(41.909909201, -87.7244751)"
12067890,JD252339,06/02/2020 05:30:00 PM,061XX S MICHIGAN AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,false,true,0311,003,20,40,17,1178207,1864473,2020,06/09/2020 03:49:44 PM,41.783425593,-87.622173294,"(41.783425593, -87.622173294)"
12066453,JD250750,06/02/2020 07:20:00 AM,003XX W 119TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0522,005,34,53,08B,1176227,1826016,2020,06/09/2020 03:49:44 PM,41.677939284,-87.630583773,"(41.677939284, -87.630583773)"
12067145,JD251772,06/02/2020 10:30:00 PM,028XX S MILLARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1032,010,22,30,08B,1152496,1884980,2020,06/09/2020 03:49:44 PM,41.840244514,-87.715899021,"(41.840244514, -87.715899021)"
